Tree_ID,Address,Town,Tree_Species,Species_Desc,Common_Name,Age_Desc,Height,Spread,Trunk,Actual_Trunk,Condition,Latitude,Longitude
322864,"Seapark, Malahide",Malahide,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,21cm,Fair to Good,53.44703123,-6.141130423
322904,"Seapark, Malahide",Malahide,ACPL,Acer platanoides,Norway Maple,Young,5.1-10 metres,3 to 6 metres,11cm to 20cm,17cm,Good,53.44593095,-6.13999885
323476,"Seapark, Malahide",Malahide,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,9 to 12 metres,31cm to 40cm,40cm,Fair to Good,53.44588142,-6.143086112
323812,"Seapark, Malahide",Malahide,CULE,x Cupressocyparis leylandii,Leyland Cypress,Semi-Mature,5.1-10 metres,3 to 6 metres,31cm to 40cm,40cm,Good,53.44563799,-6.144647402
323912,"Seapark, Malahide",Malahide,SOIN,Sorbus intermedia,Swedish Whitebeam,Mature,5.1-10 metres,9 to 12 metres,41cm - 50cm,44cm,Fair,53.44722161,-6.142860387
614456,"Hilltown Grove, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,9 to 12 metres,41cm - 50cm,48cm,Good,53.45471872,-6.238232758
124608,"Huntstown Rise, Blanchardstown",Huntstown,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,20cm,Good,53.40196972,-6.401912589
50804,"Milford, Malahide",Malahide,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,8cm,Good,53.45324345,-6.173987703
116224,"Burrowfield Road, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Semi-Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,39cm,Good,53.39253183,-6.123776703
116236,"Burrowfield Road, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,9 to 12 metres,31cm to 40cm,39cm,Good,53.39242781,-6.124487849
119400,"Glenville Grove, Blanchardstown",Blanchardstown,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,3 to 6 metres,41cm - 50cm,45cm,Good,53.38143384,-6.388468726
627888,"Windmill Avenue, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Fair to Good,53.45919975,-6.231414832
129656,"Tuscany Park, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,26cm,Good,53.39491046,-6.133182204
129680,"Tuscany Park, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,18cm,Good,53.39491754,-6.131952247
134632,"Grange Drive, Baldoyle Industrial Estate",Sutton West,ACPL,Acer platanoides,Norway Maple,Young,5.1-10 metres,Up to 3 metres,11cm to 20cm,16cm,Good,53.39652598,-6.145040326
98956,"Bayside Walk, Sutton",Sutton East,ACPS,Acer pseudoplatanus,Sycamore,Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,34cm,Good,53.39132421,-6.141431908
109552,"Binn Eadair View, Sutton",Sutton West,TISP,Tilia spp.,Lime,Semi-Mature,Up to 5 metres,3 to 6 metres,21cm to 30cm,24cm,Good,53.3902878,-6.120238018
611360,"Forestfields Road, Swords",Swords South,SOXT,Sorbus x thuringiaca,Bastard Service Tree,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,23cm,Good,53.45085428,-6.237271892
